Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
245.00	1.5185	1067.9	0.00093645	135.76	137.18	0.76524	0.94054	2.0874	769.44	0.011808	159.30	0.14458	0.010385	39.496	0.025319	398.50	436.95	1.9888	0.72482	1.1643	222.24	18.950	12.579	0.013917
246.00	1.5693	1063.6	0.00094024	137.80	139.27	0.77356	0.93965	2.0956	761.97	0.020252	156.70	0.14336	0.010161	40.845	0.024483	398.58	437.00	1.9838	0.72889	1.1778	222.06	18.756	12.643	0.014049
247.00	1.6214	1059.2	0.00094409	139.84	141.37	0.78187	0.93880	2.1042	754.48	0.028988	154.15	0.14213	0.0099380	42.234	0.023678	398.64	437.03	1.9789	0.73303	1.1917	221.86	18.564	12.707	0.014184
248.00	1.6746	1054.8	0.00094801	141.89	143.48	0.79017	0.93797	2.1131	746.95	0.038029	151.64	0.14091	0.0097158	43.662	0.022903	398.70	437.05	1.9739	0.73725	1.2061	221.66	18.375	12.771	0.014323
249.00	1.7292	1050.4	0.00095199	143.94	145.59	0.79846	0.93718	2.1224	739.39	0.047390	149.17	0.13969	0.0094948	45.132	0.022157	398.74	437.06	1.9690	0.74154	1.2211	221.44	18.189	12.836	0.014465
250.00	1.7850	1046.0	0.00095605	146.00	147.71	0.80675	0.93643	2.1320	731.78	0.057087	146.74	0.13847	0.0092749	46.644	0.021439	398.77	437.04	1.9641	0.74591	1.2366	221.22	18.005	12.902	0.014610
251.00	1.8422	1041.5	0.00096018	148.07	149.84	0.81503	0.93573	2.1421	724.14	0.067136	144.34	0.13725	0.0090562	48.200	0.020747	398.79	437.01	1.9592	0.75036	1.2526	220.97	17.823	12.969	0.014759
252.00	1.9007	1036.9	0.00096438	150.15	151.98	0.82331	0.93506	2.1527	716.44	0.077553	141.99	0.13604	0.0088386	49.801	0.020080	398.80	436.97	1.9542	0.75489	1.2693	220.72	17.644	13.037	0.014912
253.00	1.9605	1032.4	0.00096866	152.23	154.13	0.83159	0.93445	2.1636	708.69	0.088358	139.67	0.13482	0.0086221	51.448	0.019437	398.80	436.90	1.9493	0.75951	1.2867	220.45	17.466	13.105	0.015069
254.00	2.0217	1027.7	0.00097303	154.32	156.28	0.83986	0.93390	2.1751	700.88	0.099570	137.39	0.13361	0.0084069	53.144	0.018817	398.78	436.82	1.9443	0.76421	1.3047	220.17	17.291	13.174	0.015230
255.00	2.0843	1023.0	0.00097748	156.41	158.45	0.84813	0.93342	2.1870	693.01	0.11121	135.14	0.13240	0.0081928	54.889	0.018219	398.75	436.72	1.9394	0.76900	1.3234	219.87	17.117	13.245	0.015396
256.00	2.1483	1018.3	0.00098201	158.52	160.63	0.85641	0.93300	2.1995	685.08	0.12330	132.93	0.13119	0.0079800	56.685	0.017641	398.70	436.60	1.9344	0.77388	1.3429	219.56	16.946	13.316	0.015567
257.00	2.2138	1013.5	0.00098664	160.63	162.81	0.86468	0.93267	2.2125	677.07	0.13586	130.75	0.12998	0.0077683	58.534	0.017084	398.64	436.46	1.9295	0.77885	1.3633	219.24	16.776	13.389	0.015743
258.00	2.2806	1008.7	0.00099136	162.75	165.01	0.87296	0.93244	2.2262	668.99	0.14891	128.61	0.12877	0.0075580	60.438	0.016546	398.56	436.30	1.9245	0.78390	1.3844	218.90	16.608	13.462	0.015925
259.00	2.3490	1003.8	0.00099619	164.88	167.22	0.88125	0.93230	2.2404	660.83	0.16250	126.49	0.12756	0.0073489	62.398	0.016026	398.47	436.12	1.9195	0.78904	1.4065	218.55	16.442	13.537	0.016112
260.00	2.4188	998.89	0.0010011	167.02	169.44	0.88954	0.93227	2.2554	652.58	0.17663	124.40	0.12635	0.0071411	64.417	0.015524	398.37	435.92	1.9144	0.79426	1.4295	218.19	16.277	13.614	0.016306
261.00	2.4901	993.89	0.0010062	169.17	171.68	0.89784	0.93236	2.2710	644.25	0.19134	122.35	0.12514	0.0069346	66.497	0.015038	398.25	435.69	1.9094	0.79958	1.4535	217.81	16.114	13.691	0.016506
262.00	2.5630	988.83	0.0010113	171.33	173.92	0.90615	0.93258	2.2874	635.84	0.20667	120.32	0.12393	0.0067295	68.640	0.014569	398.11	435.45	1.9043	0.80498	1.4787	217.41	15.952	13.770	0.016713
263.00	2.6374	983.70	0.0010166	173.50	176.18	0.91447	0.93294	2.3046	627.34	0.22265	118.32	0.12272	0.0065257	70.848	0.014115	397.95	435.18	1.8992	0.81046	1.5050	217.01	15.792	13.851	0.016928
264.00	2.7134	978.51	0.0010220	175.68	178.45	0.92280	0.93344	2.3226	618.75	0.23932	116.34	0.12152	0.0063233	73.124	0.013675	397.78	434.88	1.8941	0.81604	1.5326	216.59	15.633	13.933	0.017150
