Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
215.00	0.46509	1136.8	0.00087966	52.472	52.881	0.26349	0.92693	1.7721	940.94	-0.18545	0	0	0.016713	12.407	0.080599	352.64	390.12	1.8321	0.67467	0.95567	220.30	27.653	0	0
216.00	0.48509	1133.5	0.00088220	54.233	54.661	0.27167	0.92621	1.7751	934.58	-0.18174	0	0	0.016490	12.912	0.077445	352.99	390.55	1.8267	0.67784	0.96198	220.42	27.285	0	0
217.00	0.50572	1130.2	0.00088477	55.997	56.444	0.27982	0.92550	1.7783	928.23	-0.17793	0	0	0.016268	13.434	0.074440	353.33	390.98	1.8215	0.68101	0.96839	220.54	26.925	0	0
218.00	0.52701	1126.9	0.00088736	57.763	58.231	0.28795	0.92481	1.7815	921.87	-0.17402	0	0	0.016047	13.971	0.071577	353.68	391.40	1.8162	0.68419	0.97489	220.64	26.573	0	0
219.00	0.54896	1123.6	0.00088999	59.532	60.021	0.29605	0.92414	1.7848	915.52	-0.17002	0	0	0.015827	14.525	0.068848	354.01	391.81	1.8111	0.68739	0.98150	220.74	26.227	0	0
220.00	0.57160	1120.3	0.00089264	61.304	61.814	0.30413	0.92348	1.7883	909.16	-0.16592	0	0	0.015607	15.095	0.066245	354.35	392.21	1.8059	0.69059	0.98822	220.82	25.888	0	0
221.00	0.59493	1116.9	0.00089532	63.078	63.611	0.31218	0.92284	1.7918	902.80	-0.16171	0	0	0.015387	15.683	0.063762	354.68	392.61	1.8009	0.69380	0.99505	220.90	25.557	0	0
222.00	0.61896	1113.5	0.00089803	64.856	65.412	0.32021	0.92221	1.7954	896.44	-0.15740	0	0	0.015169	16.289	0.061391	355.00	393.00	1.7958	0.69702	1.0020	220.97	25.232	0	0
223.00	0.64372	1110.2	0.00090077	66.636	67.216	0.32822	0.92160	1.7992	890.08	-0.15298	0	0	0.014950	16.913	0.059127	355.32	393.38	1.7908	0.70025	1.0090	221.03	24.913	0	0
224.00	0.66921	1106.8	0.00090354	68.419	69.024	0.33621	0.92101	1.8031	883.72	-0.14844	0	0	0.014733	17.555	0.056965	355.63	393.75	1.7859	0.70348	1.0162	221.08	24.601	0	0
225.00	0.69544	1103.3	0.00090634	70.206	70.836	0.34417	0.92042	1.8070	877.35	-0.14379	0	0	0.014516	18.216	0.054898	355.94	394.12	1.7810	0.70673	1.0235	221.13	24.295	0	0
226.00	0.72244	1099.9	0.00090917	71.995	72.652	0.35212	0.91986	1.8111	870.98	-0.13903	0	0	0.014300	18.896	0.052921	356.25	394.48	1.7761	0.70998	1.0309	221.16	23.996	0	0
227.00	0.75020	1096.4	0.00091204	73.788	74.472	0.36004	0.91930	1.8154	864.61	-0.13413	0	0	0.014085	19.596	0.051031	356.54	394.83	1.7713	0.71324	1.0385	221.18	23.703	0	0
228.00	0.77876	1093.0	0.00091494	75.584	76.296	0.36795	0.91877	1.8197	858.23	-0.12912	0	0	0.013870	20.316	0.049221	356.84	395.17	1.7665	0.71651	1.0462	221.20	23.415	0	0
