Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
255.00	1.8982	990.38	0.0010097	125.70	127.62	0.57608	0.90977	2.0028	683.32	0.073794	0	0	0.0083550	49.464	0.020217	362.19	400.56	1.6464	0.80832	1.3314	217.88	17.483	0	0
256.00	1.9545	986.17	0.0010140	127.64	129.62	0.58368	0.90965	2.0132	676.67	0.084877	0	0	0.0081624	51.001	0.019607	362.27	400.59	1.6421	0.81191	1.3464	217.61	17.317	0	0
257.00	2.0120	981.93	0.0010184	129.58	131.63	0.59128	0.90956	2.0239	670.00	0.096328	0	0	0.0079707	52.580	0.019019	362.33	400.60	1.6379	0.81553	1.3620	217.33	17.153	0	0
258.00	2.0708	977.65	0.0010229	131.53	133.65	0.59888	0.90948	2.0350	663.31	0.10816	0	0	0.0077800	54.201	0.018450	362.39	400.60	1.6336	0.81916	1.3780	217.03	16.993	0	0
259.00	2.1308	973.32	0.0010274	133.48	135.67	0.60648	0.90942	2.0465	656.60	0.12040	0	0	0.0075902	55.868	0.017899	362.44	400.58	1.6293	0.82282	1.3946	216.73	16.835	0	0
260.00	2.1920	968.96	0.0010320	135.45	137.71	0.61409	0.90938	2.0584	649.86	0.13307	0	0	0.0074014	57.579	0.017367	362.47	400.54	1.6250	0.82650	1.4118	216.41	16.679	0	0
261.00	2.2546	964.56	0.0010367	137.42	139.76	0.62169	0.90937	2.0709	643.10	0.14617	0	0	0.0072135	59.339	0.016852	362.49	400.48	1.6207	0.83021	1.4296	216.08	16.527	0	0
262.00	2.3184	960.11	0.0010416	139.40	141.81	0.62931	0.90937	2.0838	636.32	0.15974	0	0	0.0070267	61.147	0.016354	362.50	400.41	1.6163	0.83394	1.4481	215.74	16.376	0	0
263.00	2.3835	955.61	0.0010464	141.39	143.88	0.63693	0.90940	2.0972	629.51	0.17381	0	0	0.0068409	63.005	0.015872	362.49	400.32	1.6120	0.83771	1.4673	215.39	16.229	0	0
264.00	2.4499	951.07	0.0010514	143.38	145.96	0.64455	0.90945	2.1112	622.67	0.18839	0	0	0.0066562	64.916	0.015405	362.47	400.21	1.6076	0.84150	1.4872	215.02	16.083	0	0
265.00	2.5177	946.49	0.0010565	145.39	148.05	0.65218	0.90952	2.1258	615.81	0.20351	0	0	0.0064724	66.880	0.014952	362.44	400.09	1.6033	0.84533	1.5080	214.64	15.939	0	0
266.00	2.5868	941.85	0.0010617	147.41	150.15	0.65983	0.90962	2.1411	608.91	0.21921	0	0	0.0062898	68.901	0.014514	362.40	399.94	1.5989	0.84919	1.5296	214.25	15.798	0	0
267.00	2.6573	937.16	0.0010671	149.43	152.27	0.66748	0.90974	2.1570	601.98	0.23552	0	0	0.0061082	70.979	0.014089	362.33	399.77	1.5945	0.85308	1.5522	213.85	15.659	0	0
268.00	2.7292	932.42	0.0010725	151.47	154.39	0.67514	0.90989	2.1736	595.01	0.25246	0	0	0.0059278	73.117	0.013677	362.26	399.58	1.5900	0.85702	1.5757	213.43	15.521	0	0
269.00	2.8025	927.62	0.0010780	153.51	156.53	0.68282	0.91007	2.1910	588.01	0.27009	0	0	0.0057485	75.318	0.013277	362.16	399.37	1.5856	0.86099	1.6004	213.01	15.385	0	0
270.00	2.8772	922.76	0.0010837	155.57	158.69	0.69051	0.91029	2.2092	580.97	0.28843	0	0	0.0055703	77.583	0.012889	362.05	399.14	1.5811	0.86501	1.6262	212.56	15.251	0	0
271.00	2.9534	917.85	0.0010895	157.64	160.86	0.69822	0.91053	2.2283	573.89	0.30754	0	0	0.0053933	79.915	0.012513	361.93	398.88	1.5766	0.86907	1.6532	212.11	15.119	0	0
272.00	3.0310	912.87	0.0010954	159.72	163.04	0.70595	0.91081	2.2484	566.77	0.32745	0	0	0.0052175	82.318	0.012148	361.78	398.60	1.5720	0.87318	1.6816	211.64	14.988	0	0
273.00	3.1101	907.83	0.0011015	161.81	165.24	0.71370	0.91112	2.2695	559.60	0.34823	0	0	0.0050429	84.793	0.011793	361.62	398.30	1.5674	0.87734	1.7114	211.16	14.858	0	0
274.00	3.1907	902.72	0.0011078	163.92	167.45	0.72147	0.91147	2.2917	552.38	0.36993	0	0	0.0048695	87.344	0.011449	361.43	397.96	1.5628	0.88156	1.7428	210.66	14.730	0	0
275.00	3.2728	897.54	0.0011142	166.04	169.68	0.72927	0.91186	2.3151	545.11	0.39261	0	0	0.0046974	89.975	0.011114	361.23	397.61	1.5581	0.88583	1.7759	210.15	14.603	0	0
276.00	3.3565	892.28	0.0011207	168.17	171.93	0.73709	0.91229	2.3399	537.79	0.41634	0	0	0.0045266	92.689	0.010789	361.01	397.22	1.5533	0.89016	1.8109	209.63	14.477	0	0
277.00	3.4417	886.95	0.0011275	170.32	174.20	0.74494	0.91278	2.3660	530.41	0.44119	0	0	0.0043571	95.490	0.010472	360.76	396.80	1.5486	0.89455	1.8480	209.09	14.352	0	0
278.00	3.5285	881.53	0.0011344	172.48	176.48	0.75283	0.91330	2.3937	522.97	0.46724	0	0	0.0041890	98.382	0.010164	360.49	396.35	1.5437	0.89902	1.8872	208.54	14.227	0	0
279.00	3.6168	876.03	0.0011415	174.66	178.79	0.76075	0.91389	2.4232	515.47	0.49459	0	0	0.0040222	101.37	0.0098649	360.19	395.87	1.5388	0.90355	1.9290	207.97	14.104	0	0
280.00	3.7068	870.44	0.0011488	176.86	181.12	0.76870	0.91453	2.4545	507.90	0.52333	0	0	0.0038569	104.46	0.0095732	359.87	395.36	1.5338	0.90817	1.9734	207.39	13.981	0	0
281.00	3.7985	864.75	0.0011564	179.07	183.47	0.77670	0.91523	2.4879	500.26	0.55357	0	0	0.0036930	107.65	0.0092892	359.52	394.81	1.5288	0.91286	2.0209	206.79	13.858	0	0
282.00	3.8918	858.96	0.0011642	181.31	185.84	0.78474	0.91599	2.5236	492.54	0.58544	0	0	0.0035306	110.96	0.0090124	359.14	394.22	1.5237	0.91765	2.0716	206.18	13.735	0	0
283.00	3.9868	853.06	0.0011722	183.56	188.24	0.79284	0.91683	2.5619	484.73	0.61907	0	0	0.0033697	114.38	0.0087425	358.73	393.59	1.5185	0.92253	2.1261	205.55	13.612	0	0
284.00	4.0835	847.05	0.0011806	185.84	190.66	0.80098	0.91775	2.6030	476.84	0.65462	0	0	0.0032104	117.93	0.0084793	358.29	392.92	1.5132	0.92751	2.1846	204.90	13.489	0	0
285.00	4.1820	840.92	0.0011892	188.14	193.11	0.80919	0.91875	2.6472	468.86	0.69225	0	0	0.0030527	121.62	0.0082225	357.82	392.21	1.5078	0.93259	2.2478	204.24	13.366	0	0
286.00	4.2822	834.66	0.0011981	190.46	195.59	0.81746	0.91984	2.6951	460.78	0.73216	0	0	0.0028967	125.44	0.0079717	357.31	391.45	1.5023	0.93780	2.3163	203.56	13.242	0	0
287.00	4.3842	828.26	0.0012074	192.81	198.10	0.82579	0.92104	2.7470	452.59	0.77457	0	0	0.0027424	129.42	0.0077267	356.76	390.64	1.4966	0.94313	2.3906	202.86	13.117	0	0
288.00	4.4880	821.71	0.0012170	195.19	200.65	0.83421	0.92234	2.8035	444.29	0.81972	0	0	0.0025898	133.56	0.0074872	356.17	389.77	1.4909	0.94860	2.4717	202.15	12.991	0	0
289.00	4.5936	815.00	0.0012270	197.59	203.23	0.84271	0.92377	2.8653	435.87	0.86790	0	0	0.0024391	137.88	0.0072529	355.54	388.85	1.4850	0.95421	2.5606	201.42	12.863	0	0
290.00	4.7012	808.11	0.0012375	200.03	205.85	0.85130	0.92534	2.9332	427.31	0.91943	0	0	0.0022903	142.38	0.0070235	354.85	387.87	1.4790	0.95999	2.6583	200.67	12.734	0	0
291.00	4.8106	801.04	0.0012484	202.51	208.51	0.86000	0.92706	3.0082	418.61	0.97470	0	0	0.0021435	147.09	0.0067987	354.12	386.82	1.4728	0.96594	2.7664	199.90	12.602	0	0
292.00	4.9220	793.76	0.0012598	205.02	211.22	0.86881	0.92895	3.0914	409.77	1.0341	0	0	0.0019987	152.02	0.0065783	353.33	385.70	1.4664	0.97208	2.8867	199.11	12.468	0	0
293.00	5.0353	786.25	0.0012719	207.57	213.98	0.87775	0.93103	3.1843	400.75	1.0982	0	0	0.0018560	157.19	0.0063618	352.47	384.51	1.4598	0.97843	3.0212	198.30	12.330	0	0
294.00	5.1507	778.49	0.0012845	210.17	216.79	0.88683	0.93332	3.2889	391.56	1.1676	0	0	0.0017156	162.63	0.0061491	351.55	383.22	1.4529	0.98500	3.1729	197.48	12.189	0	0
295.00	5.2681	770.46	0.0012979	212.83	219.66	0.89607	0.93586	3.4075	382.17	1.2430	0	0	0.0015775	168.36	0.0059397	350.56	381.85	1.4459	0.99183	3.3453	196.63	12.043	0	0
296.00	5.3876	762.12	0.0013121	215.53	222.60	0.90549	0.93868	3.5433	372.57	1.3253	0	0	0.0014418	174.42	0.0057333	349.48	380.37	1.4385	0.99894	3.5428	195.75	11.891	0	0
297.00	5.5092	753.43	0.0013273	218.31	225.62	0.91513	0.94183	3.7004	362.74	1.4154	0	0	0.0013088	180.85	0.0055294	348.31	378.77	1.4308	1.0064	3.7717	194.86	11.734	0	0
298.00	5.6330	744.33	0.0013435	221.16	228.72	0.92500	0.94535	3.8844	352.65	1.5147	0	0	0.0011785	187.70	0.0053277	347.03	377.05	1.4227	1.0142	4.0400	193.94	11.569	0	0
299.00	5.7591	734.79	0.0013609	224.09	231.92	0.93515	0.94931	4.1030	342.27	1.6247	0	0	0.0010511	195.02	0.0051276	345.64	375.17	1.4142	1.0223	4.3590	193.00	11.395	0	0
300.00	5.8874	724.70	0.0013799	227.12	235.24	0.94563	0.95380	4.3673	331.57	1.7475	0	0	0.00092677	202.91	0.0049284	344.10	373.12	1.4052	1.0310	4.7448	192.02	11.210	0	0
301.00	6.0181	713.98	0.0014006	230.26	238.69	0.95651	0.95892	4.6938	320.50	1.8856	0	0	0.00080583	211.44	0.0047294	342.41	370.87	1.3956	1.0402	5.2211	191.02	11.012	0	0
302.00	6.1513	702.50	0.0014235	233.55	242.30	0.96787	0.96483	5.1076	309.02	2.0424	0	0	0.00068853	220.77	0.0045297	340.51	368.38	1.3853	1.0500	5.8240	189.99	10.799	0	0
303.00	6.2870	690.07	0.0014491	237.01	246.12	0.97983	0.97173	5.6502	297.04	2.2224	0	0	0.00057523	231.06	0.0043279	338.38	365.59	1.3741	1.0605	6.6125	188.92	10.566	0	0
304.00	6.4253	676.42	0.0014784	240.69	250.19	0.99257	0.97990	6.3937	284.50	2.4321	0	0	0.00046637	242.58	0.0041223	335.94	362.43	1.3618	1.0720	7.6885	187.81	10.307	0	0
305.00	6.5663	661.16	0.0015125	244.66	254.60	1.0064	0.98980	7.4767	271.24	2.6810	0	0	0.00036255	255.74	0.0039102	333.11	358.79	1.3480	1.0845	9.2452	186.66	10.014	0	0
306.00	6.7103	643.59	0.0015538	249.06	259.49	1.0217	1.0022	9.2024	257.07	2.9839	0	0	0.00026456	271.21	0.0036872	329.72	354.46	1.3320	1.0986	11.700	185.44	9.6740	0	0
307.00	6.8574	622.45	0.0016066	254.12	265.14	1.0393	1.0184	12.382	241.67	3.3669	0	0	0.00017364	290.24	0.0034454	325.46	349.09	1.3128	1.1146	16.146	184.15	9.2607	0	0
308.00	7.0078	594.69	0.0016816	260.40	272.18	1.0614	1.0416	20.125	224.35	3.8854	0	0	9.1836e-05	315.83	0.0031662	319.67	341.86	1.2876	1.1335	26.658	182.76	8.7179	0	0
309.00	7.1623	548.57	0.0018229	270.12	283.18	1.0962	1.0829	62.751	202.97	4.7270	0	0	2.3771e-05	359.50	0.0027816	309.72	329.64	1.2466	1.1568	80.677	181.28	7.8391	0	0
